PROCESS_10,6,0,65,0,24,1
PROCESS_149,9,0,69,0,30,1
PROCESS_46,5,0,51,0,22,1
PROCESS_175,9,0,84,0,46,1
PROCESS_22,10,0,91,0,35,1
PROCESS_187,6,0,53,0,28,1
PROCESS_78,9,0,56,0,21,1
PROCESS_169,7,0,80,0,37,1
PROCESS_197,8,0,86,0,41,1
PROCESS_85,6,0,51,0,28,1
PROCESS_193,5,0,43,0,23,1
PROCESS_137,12,0,114,0,68,1
PROCESS_31,9,0,98,0,49,1
PROCESS_133,12,0,121,0,59,1
PROCESS_124,10,0,121,0,54,1
PROCESS_35,5,0,48,0,15,1
PROCESS_170,13,0,123,0,61,1
PROCESS_36,6,0,72,0,31,1
PROCESS_79,11,0,116,0,45,1
PROCESS_112,10,0,105,0,50,0
PROCESS_90,9,0,103,0,55,1
PROCESS_44,7,0,74,0,29,1
PROCESS_105,12,0,116,0,57,1
PROCESS_177,7,0,64,0,36,1
PROCESS_14,6,0,61,0,37,0
PROCESS_81,6,0,43,0,32,1
PROCESS_113,12,0,136,0,53,1
PROCESS_174,11,0,113,0,50,1
PROCESS_145,9,0,99,0,51,1
PROCESS_125,6,0,69,0,27,1
PROCESS_109,5,0,56,0,20,1
PROCESS_151,12,0,134,0,61,1
PROCESS_70,6,0,62,0,36,0
PROCESS_80,11,0,126,0,58,1
PROCESS_134,6,0,69,0,25,1
PROCESS_156,7,0,78,0,32,1
PROCESS_176,6,0,54,0,23,1
PROCESS_153,8,0,112,0,49,1
PROCESS_83,7,0,80,0,32,1
PROCESS_168,7,0,57,0,29,1
PROCESS_55,12,0,149,0,71,1
PROCESS_160,17,0,151,0,74,1
PROCESS_165,8,0,76,0,30,0
PROCESS_73,8,0,69,0,29,1
PROCESS_28,10,0,102,0,57,0
PROCESS_191,5,0,42,0,20,1
PROCESS_130,12,0,119,0,53,0
PROCESS_102,5,0,41,0,17,1
PROCESS_65,16,0,163,0,67,0
PROCESS_13,16,0,157,0,74,1
PROCESS_120,18,0,177,0,91,0
PROCESS_89,10,0,117,0,67,0
PROCESS_60,7,0,76,0,33,1
PROCESS_128,9,0,107,0,36,0
PROCESS_63,22,0,193,0,95,1
PROCESS_67,10,0,100,0,45,1
PROCESS_188,14,0,162,0,77,1
PROCESS_192,5,0,54,0,28,1
PROCESS_136,11,0,128,0,54,1
PROCESS_119,20,0,196,0,85,1
PROCESS_97,13,0,153,0,86,1
PROCESS_88,12,0,128,0,58,1
PROCESS_64,10,0,106,0,59,1
PROCESS_95,16,0,166,0,90,0
PROCESS_34,7,0,60,0,25,1
PROCESS_132,18,0,176,0,75,1
PROCESS_91,8,0,111,0,51,1
PROCESS_52,20,0,205,0,94,0
PROCESS_74,9,0,104,0,52,1
PROCESS_6,18,0,208,0,92,0
PROCESS_72,12,0,137,0,73,1
PROCESS_42,18,0,164,0,78,1
PROCESS_163,8,0,96,0,50,1
PROCESS_5,5,0,34,0,17,1
PROCESS_180,13,0,136,0,67,1
PROCESS_115,13,0,95,0,44,1
PROCESS_129,18,0,185,0,87,1
PROCESS_179,15,0,157,0,82,1
PROCESS_96,12,0,126,0,76,0
PROCESS_62,7,0,64,0,37,1
PROCESS_38,7,0,76,0,36,1
PROCESS_182,21,0,213,0,104,0
PROCESS_58,10,0,102,0,46,1
PROCESS_68,14,0,158,0,98,0
PROCESS_94,16,0,172,0,56,1
PROCESS_147,15,0,124,0,61,1
PROCESS_41,21,0,214,0,115,1
PROCESS_99,20,0,225,0,117,1
PROCESS_56,23,0,241,0,103,1
PROCESS_199,17,0,199,0,89,1
PROCESS_198,7,0,67,0,33,1
PROCESS_108,16,0,200,0,82,0
PROCESS_110,16,0,183,0,93,1
PROCESS_167,20,0,226,0,111,0
PROCESS_158,10,0,106,0,35,1
PROCESS_194,5,0,50,0,19,1
PROCESS_162,16,0,164,0,75,0
PROCESS_49,13,0,135,0,64,1
PROCESS_24,24,0,249,0,122,1
PROCESS_77,10,0,98,0,59,1
PROCESS_173,19,0,160,0,83,0
PROCESS_18,19,0,215,0,108,1
PROCESS_7,16,0,183,0,92,1
PROCESS_166,17,0,183,0,80,0
PROCESS_59,8,0,88,0,45,1
PROCESS_3,20,0,191,0,75,1
PROCESS_75,7,0,65,0,29,1
PROCESS_171,6,0,68,0,28,1
PROCESS_40,22,0,227,0,118,1
PROCESS_57,23,0,230,0,118,1
PROCESS_195,22,0,205,0,104,1
PROCESS_12,20,0,223,0,111,0
PROCESS_29,22,0,225,0,107,0
PROCESS_143,11,0,123,0,61,1
PROCESS_4,10,0,124,0,53,1
PROCESS_114,16,0,154,0,87,1
PROCESS_164,13,0,107,0,44,1
PROCESS_161,21,0,244,0,100,0
PROCESS_25,19,0,198,0,107,1
PROCESS_53,10,0,110,0,34,1
PROCESS_37,13,0,139,0,73,1
PROCESS_159,21,0,215,0,101,1
PROCESS_61,14,0,168,0,82,1
PROCESS_150,17,0,151,0,68,0
PROCESS_54,10,0,80,0,33,1
PROCESS_1,21,0,215,0,115,0
PROCESS_84,10,0,97,0,56,1
PROCESS_127,12,0,137,0,67,1
PROCESS_19,24,0,278,0,126,1
PROCESS_172,13,0,123,0,85,1
PROCESS_50,24,0,255,0,133,0
PROCESS_118,15,0,145,0,58,1
PROCESS_122,18,0,189,0,90,1
PROCESS_87,12,0,135,0,66,1
PROCESS_16,23,0,268,0,133,0
PROCESS_51,10,0,121,0,56,0
PROCESS_121,16,0,178,0,85,1
PROCESS_141,19,0,210,0,111,1
PROCESS_155,11,0,122,0,51,0
PROCESS_32,20,0,222,0,109,1
PROCESS_71,23,0,258,0,107,1
PROCESS_123,10,0,103,0,35,1
PROCESS_139,12,0,134,0,75,1
PROCESS_181,22,0,251,0,132,1
PROCESS_142,22,0,225,0,102,0
PROCESS_100,22,0,204,0,116,1
PROCESS_196,11,0,126,0,60,0
PROCESS_23,11,0,126,0,52,1
PROCESS_185,22,0,234,0,109,1
PROCESS_184,19,0,195,0,111,1
PROCESS_27,25,0,302,0,136,0
PROCESS_82,19,0,196,0,91,1
PROCESS_140,19,0,175,0,82,0
PROCESS_20,17,0,185,0,99,0
PROCESS_76,20,0,255,0,136,1
PROCESS_106,11,0,126,0,60,0
PROCESS_104,21,0,223,0,108,0
PROCESS_131,24,0,246,0,135,1
PROCESS_200,19,0,226,0,123,1
PROCESS_186,18,0,195,0,93,1
PROCESS_101,21,0,258,0,126,0
PROCESS_178,13,0,162,0,86,0
PROCESS_30,13,0,141,0,75,1
PROCESS_66,13,0,141,0,67,1
PROCESS_33,18,0,170,0,84,1
PROCESS_93,22,0,219,0,111,0
PROCESS_146,17,0,208,0,93,1
PROCESS_111,24,0,267,0,122,1
PROCESS_103,21,0,244,0,103,1
PROCESS_92,21,0,228,0,115,1
PROCESS_11,25,0,314,0,153,0
PROCESS_21,16,0,159,0,83,0
PROCESS_15,20,0,217,0,109,1
PROCESS_47,13,0,152,0,71,1
PROCESS_26,20,0,213,0,106,0
PROCESS_183,17,0,187,0,86,0
PROCESS_39,21,0,227,0,119,1
PROCESS_69,16,0,209,0,102,0
PROCESS_138,14,0,163,0,83,1
PROCESS_190,18,0,199,0,96,0
PROCESS_17,24,0,240,0,114,0
PROCESS_48,24,0,275,0,127,1
PROCESS_117,20,0,222,0,106,1
PROCESS_86,22,0,214,0,111,1
PROCESS_148,21,0,188,0,86,1
PROCESS_2,24,0,228,0,114,1
PROCESS_116,20,0,209,0,102,1
PROCESS_126,20,0,259,0,131,1
PROCESS_152,16,0,193,0,88,1
PROCESS_43,22,0,252,0,121,0
PROCESS_107,20,0,221,0,116,1
PROCESS_157,21,0,239,0,128,1
PROCESS_98,20,0,251,0,109,1
PROCESS_8,24,0,264,0,114,1
PROCESS_135,25,0,313,0,147,1
PROCESS_45,25,0,256,0,137,0
PROCESS_9,23,0,252,0,119,1
PROCESS_154,24,0,249,0,114,1
PROCESS_189,25,0,274,0,141,0
PROCESS_144,24,0,303,0,134,0
